"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000051951",23.2419243337694,0.442126060494809,0.458130127440012,0.965066547719462,0.334511480935484,0.591314709965619
"ENSMUSG00000103161",6.59487949499195,-0.466369537751408,0.491175743752016,-0.949496272329906,0.342368267011144,0.598920989288424
"ENSMUSG00000102331",15.9706841751662,0.017735654301807,0.363232564741964,0.0488272694228455,0.961056950231187,0.984569046872928
"ENSMUSG00000102343",252.026169618772,0.272816224660286,0.239796808808688,1.13769747819263,0.255246826814255,0.510216738166818
"ENSMUSG00000025902",46.6938223478729,0.206689698360594,0.403989126441412,0.511621934434834,0.60891563120955,0.80295591950153
"ENSMUSG00000102269",36.1958317220578,0.315496538951637,0.310984091275811,1.01451022030521,0.310339355127551,0.56826398140539
"ENSMUSG00000098104",360.660404942243,0.0635731147969006,0.166519441643696,0.381775930602318,0.702627573504598,0.856784939635514
"ENSMUSG00000102175",21.4353018528809,-0.0107833894282083,0.26577265939562,-0.0405737349083621,0.967635723415569,0.987055402293805
"ENSMUSG00000103922",66.8280293222975,0.239702099369918,0.22398324172184,1.07017872197599,0.284538870091092,0.541407436980554
"ENSMUSG00000033845",4032.88171972379,-0.207431450846686,0.177805258919235,-1.16662157299244,0.243363227353817,0.497711678548968
"ENSMUSG00000102275",28.8147401612281,-0.0485250553739621,0.291852121376334,-0.166265899131124,0.867947701032827,0.944156850482391
"ENSMUSG00000025903",2204.44550610468,-0.0187968087114107,0.186167800944793,-0.100967023384376,0.919576637892987,0.96774871712729
"ENSMUSG00000033813",2317.38188448028,-0.422237639051825,0.158202340747332,-2.66897213440217,0.00760837621944852,0.0543525680814238
"ENSMUSG00000062588",60.2924280210412,-0.497340068482265,0.205005223462988,-2.42598729964584,0.0152668045332142,0.0871226712351217
"ENSMUSG00000103280",20.933801859084,0.375125726252591,0.304608267091885,1.23150211855358,0.21813512479046,0.467931270895224
"ENSMUSG00000002459",15.0920231196728,0.0596650700772625,0.332500887499406,0.179443340816253,0.857589602580369,0.939376076940895
"ENSMUSG00000033793",2598.85268471022,-0.338859793193793,0.118006369461315,-2.87153816137762,0.00408479459077487,0.0357116680118752
"ENSMUSG00000025905",8.27905587526111,0.757736176227698,0.674848956054741,1.12282336577584,0.261512519675986,0.516761266425602
"ENSMUSG00000025907",3307.41813659379,-0.514656894679216,0.140720419607261,-3.65730073940642,0.000254885263846954,0.00473174910466512
"ENSMUSG00000090031",66.9374939684761,0.0643130526151388,0.210481792550771,0.305551619623467,0.759946061596014,0.890174165430833
"ENSMUSG00000087247",30.4710106968281,-2.32443290548099,0.937184331059667,-2.48023022627019,0.0131297576322671,0.0786078909421675
"ENSMUSG00000103355",7.80426987868269,-0.959511053120997,0.47943648879534,-2.00133088645781,0.0453567433407035,0.178397326590693
"ENSMUSG00000103845",115.261433763575,0.150471467242132,0.153667009599325,0.979204759918698,0.327478817214736,0.584811941573201
"ENSMUSG00000102135",9.11341120325202,0.646171618102022,0.476563094477333,1.35589940889297,0.17513117562953,0.412985312837982
"ENSMUSG00000051285",1034.63073770041,-0.35107312728985,0.182050819205774,-1.92843475696217,0.0538010721129343,0.199370255215102
"ENSMUSG00000098201",8.28667724333111,-0.0283479316140831,0.410710261411584,-0.0690217271822068,0.94497232494938,0.977877848199513
"ENSMUSG00000103509",158.385637264166,0.06769610991824,0.194061628488771,0.348838203850058,0.727210780328185,0.870904038189587
"ENSMUSG00000048538",38.470041102081,0.104558399080313,0.226747984030005,0.461121625965488,0.644711346985381,0.8235826139269
"ENSMUSG00000097797",38.5313399599412,-0.170081517446944,0.23346683072502,-0.728503988848283,0.46630512779633,0.702795253958885
"ENSMUSG00000025909",44.0555389680718,0.562652142235,0.42840338305385,1.31336997907011,0.189058308410422,0.431692574507325
"ENSMUSG00000084353",136.610879516382,-0.375029810888958,0.16696615806256,-2.24614266292478,0.0246948714268348,0.11980143724083
"ENSMUSG00000103933",21.4987000965096,0.417407023090238,0.362520476848244,1.15140260963788,0.249566640734944,0.504405072077334
"ENSMUSG00000061024",2021.65785703976,0.38318371974895,0.319296052691241,1.20008912267853,0.230104729531558,0.481717620940668
"ENSMUSG00000025911",58.6908109780441,-0.082007696039916,0.270747949584579,-0.302893137937865,0.761971300998855,0.890587829289713
"ENSMUSG00000079671",6.31214982165299,-0.621013666253497,0.523722798094629,-1.18576786901931,0.235713983725446,0.488392482444909
"ENSMUSG00000025912",1180.7374586629,-0.397652738713034,0.176666837627933,-2.25086238058161,0.0243942550744822,0.118853455199824
"ENSMUSG00000045210",2474.16024637104,-0.063276863288682,0.163105429712347,-0.387950685641043,0.698052528101136,0.854308723365223
